127.0.0.1 - - [17/Jan/2018:10:07:20 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:22 +0530] "GET /ProjectForTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:26 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6493
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:26 +0530] "GET /ProjectForTest/WebContent/js/login.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:30 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:30 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:52 +0530] "GET /ProjectForTest/WebContent/js/login.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:17 +0530] "GET /ProjectForTest/ HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:33 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6493
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:33 +0530] "GET /ProjectForTest/WebContent/js/login.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:33 +0530] "GET /ProjectForTest/WebContent/js/login.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:37 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:37 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:51:40 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:51:40 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:51:44 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:51:44 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:51:55 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:51:55 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:55:10 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:55:10 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:55:17 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6538
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:55:17 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:55:38 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:55:38 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:57:19 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6481
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:57:19 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:39:14 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:39:14 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:39:16 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:39:16 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:39:25 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:39:25 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:39:41 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:39:41 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:40:36 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:40:36 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:40:39 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:40:39 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:41:03 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:41:03 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:42:17 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:42:17 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:42:24 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:42:24 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:44:38 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:44:38 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:44:43 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:11:44:43 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:12:47:25 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:12:47:25 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [17/Jan/2018:12:47:49 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:12:47:49 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:12:48:25 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:12:48:25 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:09:43 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:09:43 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:09:57 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:09:57 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:19 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:19 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:46 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:50 +0530] "GET /ProjectForTest/index.html HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:51 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:51 +0530] "GET /ProjectForTest/js/registration.js HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:54 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:54 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:57 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:10:57 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:05 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:05 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:09 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:09 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:13 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:13 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:42 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:42 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:50 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:11:50 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:13:00 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:13:00 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:14:14 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:14:14 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:17:28 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:17:28 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:17:35 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:17:35 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:17:59 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:17:59 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:18:03 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:18:03 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:19:30 +0530] "GET /ProjectForTest/index.html HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:19:32 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:19:32 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:26:19 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:26:19 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:26:30 +0530] "POST /ProjectForTest/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:26:30 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:50:24 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:50:24 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:50:29 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:50:29 +0530] "GET /ProjectForTest/js/registration.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:50:41 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:50:41 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:51:12 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:51:12 +0530] "GET /ProjectForTest/js/registration.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:51:14 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:51:14 +0530] "GET /ProjectForTest/js/registration.js HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:51:27 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:51:27 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:51:34 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:51:34 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:52:41 +0530] "GET /ProjectForTest/registration.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:52:41 +0530] "GET /ProjectForTest/js/registration.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:53:05 +0530] "POST /ProjectForTest/Registration HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:53:05 +0530] "GET /ProjectForTest/userPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:53:07 +0530] "GET /ProjectForTest/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:53:57 +0530] "GET /ProjectForTest/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:14:53:57 +0530] "GET /ProjectForTest/js/login.js HTTP/1.1" 304 -
